title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
Integrated simulation method for waterlogging and traffic congestion under urban rainstorms,"Su, Boni, Huang, Hong, Li, Yuntao",Natural Hazards,2016-03-01,N/A,"Heavy rainstorms are increasingly frequent events in urban areas. Urban rainstorms lead to road waterlogging and low visibility, which affect drivers’ behavior and can thus cause traffic congestion and potential accidents. It is important to study the mechanisms of waterlogging and traffic congestion caused by rainstorms to more effectively predict them and reduce losses. In this paper, an integrated simulation method to analyze the influence of urban rainstorms on waterlogging and traffic congestion was developed. Firstly, waterlogging simulation was conducted to predict the spatiotemporal distribution of water depth on roads based on an urban storm water model. Secondly, psychological questionnaires were distributed to study the drivers’ behavior during a rainstorm. Based on the psychological questionnaires’ results, the vehicles’ speed was estimated under different water depth and visibility conditions. Finally, a microscopic traffic simulation was carried out to predict the traffic condition using the results of the previous two parts. Case studies were conducted on a simplified road model. The effects of different parameters on waterlogging and traffic congestion were analyzed. Then the method was applied to an actual urban area in Beijing, and a detailed waterlogging situation and traffic situation were obtained. Alternate future scenarios of adding drains to mitigate waterlogging and traffic congestion during heavy rainstorms were simulated, and the method’s potential to assist in decision making for urban drainage system design was shown. The integrated simulation method is helpful for early warning and risk management of urban rainstorms on waterlogging and traffic congestion.",None,None,None
Doing the Hard Work Where it’s Easiest? Examining the Relationships Between Urban Greening Programs and Social and Ecological Characteristics,"Locke, Dexter H., Grove, J. Morgan",Applied Spatial Analysis and Policy,2016-03-01,N/A,"In this paper we examine the performance of formal programs associated with tree plantings in Washington, D.C. and Baltimore, MD to understand the relationships between the implementation of urban greening programs and the social and ecological characteristics of a city. Previous research has examined variations in patterns of existing and possible tree canopy cover relative to different social theories. Less attention has been paid to the processes of how the current patterns of tree canopy cover have developed. The goal of this paper is to address this gap by examining current programs to increase tree canopy. This paper utilizes public records, administrative data, a geodemographic market segmentation database, and high-resolution land cover data to assess where programs work, who participates in these programs, and whom the programs fail to reach. Recruiting households to plant trees can be hard work. In this paper, we find that programs might be most successful where it is easiest but have the lowest need. Free or reduced-cost programs for tree planting on private lands were most effective in the most affluent neighborhoods of Washington, D.C. and Baltimore, MD. These areas tended to also have the most existing tree canopy on both private residential lands and the public right of way. An outcome of this research is a framework for further testing which land management strategies are most effective, where, and with whom in order to improve the ability to plan and enhance urban sustainability and resilience through urban forestry.","In this paper we examine the performance of formal programs associated with tree plantings in Washington, D",None,None
Adaptive governance to promote ecosystem services in urban green spaces,"Green, Olivia Odom, Garmestani, Ahjond S., Albro, Sandra, Ban, Natalie C., Berland, Adam, Burkman, Caitlin E., Gardiner, Mary M., Gunderson, Lance, Hopton, Matthew E., Schoon, Michael L., Shuster, William D.",Urban Ecosystems,2016-03-01,N/A,"Managing urban green space as part of an ongoing social-ecological transformation poses novel governance issues, particularly in post-industrial settings. Urban green spaces operate as small-scale nodes in larger networks of ecological reserves that provide and maintain key ecosystem services such as pollination, water retention and infiltration, and sustainable food production. In an urban mosaic, a myriad of social and ecological components factor into aggregating and managing land to maintain or increase the flow of ecosystem services associated with green spaces. Vacant lots (a form of urban green space) are being repurposed for multiple functions, such as habitat for biodiversity, including arthropods that provide pollination services to other green areas; to capture urban runoff that eases the burden on ageing wastewater systems and other civic infrastructure; and to reduce urban heat island effects. Because of the uncertainty and complexities of managing for ecosystem services in urban settings, we advocate for a governance approach that is adaptive and iterative in nature—adaptive governance—to address the ever changing social order underlying post-industrial cities and offer the rise of land banks as an example of governance innovation."," In an urban mosaic, a myriad of social and ecological components factor into aggregating and managing land to maintain or increase the flow of ecosystem services associated with green spaces",None,None
"Human adaptations in food, energy, and water systems","Irwin, Elena, Campbell, Joseph, Wilson, Robyn, Faggian, Alessandra, Moore, Richard, Irwin, Nicholas",Journal of Environmental Studies and Sciences,2016-03-01,N/A,"The impacts of recent natural disasters highlight the hidden vulnerabilities in society’s food, energy, and water systems and the potential for climate change to amplify these social liabilities. Some have pointed to technological solutions to reduce vulnerabilities and to build resiliency into food, energy, and water systems (FEWS). While technological advances to upgrade human systems, e.g., in agriculture, urban planning, pollution abatement, and green energy development, are critical, these technical advances are insufficient on their own. Effective FEWS management depends on understanding human decision-making, including adaptations to new environmental, social, or economic changes and the responses of individuals and communities to new technologies intended to improve FEWS resilience and sustainability. This paper draws on multiple social science perspectives, including decision science, economics, and sociology, to consider the fundamental role that human behavior and adaptations play in FEWS. We discuss the importance of accounting for human behavior within a coupled human-natural systems framework in which a range of human adaptations and feedbacks are considered, including how humans might respond directly to press-pulse dynamics and indirectly through their adoption of new technology. Following a brief summary of key concepts of decision-making theory at individual and community scales, we then focus on migration and land use changes, the two types of human adaptations that are particularly important for FEWS modeling and management. The paper concludes with a discussion of key knowledge gaps and research needs in the social sciences related to human adaptations in the context of FEWS.",None, The paper concludes with a discussion of key knowledge gaps and research needs in the social sciences related to human adaptations in the context of FEWS,None
Nitrogen removal by three types of bioretention columns under wetting and drying regimes,"Tang, Ning-yuan, Li, Tian",Journal of Central South University,2016-02-01,N/A,"The behaviors of inorganic nitrogen species in three types of bioretention columns under an intermittently wetting regime were investigated. The mean NH4+—N, NO3−—N and total N (TN) removal efficiencies for the conventional bioretention column (Col. T1) are 71%, 1% and 41%, for layered bioretention column with less permeable soil layer (Col. T2) the efficiencies are 83%, 84% and 82%, and for the bioretention column with submerged zone (Col. T3) the values are 63%, 31% and 53%, respectively. The best nitrogen removal is obtained using Col. T2 with relatively low infiltration rate. Adsorption during runoff dosing and nitrification during the drying period are the primary NH4+—N removal pathways. Less permeable soil and the elevated outlet promote the formation of anoxic conditions. 30%–70% of NO3−—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3−—N. Infiltration rate controls the contact time with media during the draining periods, greatly influencing the NO3−—N removal effects. Bioretention systems with infiltration rate ranging from 3 to 7 cm/h have a great potential to remove NO3−—N.",None,None," 30%–70% of NO3−—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3−—N"
Bio-retention Systems for Storm Water Treatment and Management in Urban Systems,"Weerasundara, Lakshika, Nupearachchi, C. N., Kumarathilaka, Prasanna, Seshadri, Balaji, Bolan, Nanthi, Vithanage, Meththika",Phytoremediation,2016-01-01,N/A,"Among different anthropogenic activities, urbanization has greatly influenced the hydrological cycle. Due to increased impervious surfaces, the amount of infiltration has been reduced, thereby increasing the runoff volume leading to flood conditions even for low rainfall events. Storm water flow along these impermeable surfaces finally ends up in surface water reservoirs. Urban systems are fundamentally responsible for a lot of pollutants by different sources: vehicle, industries, atmospheric deposition, soil erosion, etc., which may release various types of pollutants such as metals, organics, nutrients, oil and grease, detergents, surfactants, etc., into the atmosphere. With the storm water runoff, these pollutants may end up in surface waters. This indicates the importance of storm water treatment. Although there are several storm water treatment methods available, low-cost environmental-friendly methods (e.g., bio-retention systems) will be more sustainable with urban systems. Bio-retention systems can manage storm water and improve water quality through containment and remediation of pollutants within the urban system. However, the limitation of these systems is its finite capacity to hold contaminants. Hence, suitable plants grown along the bio-retention systems will be an effective phytoremediation option to address the challenges encountered in these remedial systems.",None,None,None
A Case Study: Intense Urban Agriculture as a Tool to Educate and Build Communities: A Glance at What Farmer Frog Is Doing in the Pacific Northwest,"Pasztor, Zsofia",Sowing Seeds in the City,2016-01-01,N/A,"Farmer Frog encourages children and families to grow food for themselves and their community. Hand-up programs, school gardens, and hands-on learning create a safe and healthy community.",None,None,None
Phytoremediation of Polycyclic Aromatic Hydrocarbons (PAHs) in Urban Atmospheric Deposition Using Bio-retention Systems,"Weerasundara, Lakshika, Vithanage, Meththika",Phytoremediation,2016-01-01,N/A,"Polycyclic aromatic hydrocarbons (PAHs) are ubiquitous compounds in urban environment and pose a great concern in environmental pollution due to their carcinogenicity. The inefficient fuel combustion is the major cause for the emission of PAHs in urban atmosphere. The emitted PAHs are either in particulate or in vapor phase however finally end up with deposition and directed into water reservoirs or groundwater table via storm water. Instead of conventional techniques such as solvent extraction, chemical oxidation, photocatalytic degradation, electrokinetic remediation, and thermal technologies, bio-retention systems can be used to remediate PAHs in storm water. However, bio-retention system does not facilitate the degradation or removal of PAHs, instead it facilitates the accumulation of PAHs in the soil. The use of phytoremediation in bio-retention systems is a hybrid technology that can provide efficient PAH removal by cutting down the biochemical cycling of PAHs. Although phytoremediation and bio-retentions systems are well-established technologies, their combination is rarely used. This chapter discusses the possibility of the use of phytoremediation in bio-retention systems, for remediation of deposited PAHs in the urban environment. Bio-retention systems with phytoremediation not only remediate PAHs but also reduce other pollutants such as heavy metals, nutrients, enhance the esthetic value, and create opportunities to produce biomass for bio-fuel production.",None,None,None
"Irrigating Urban Agriculture with Harvested Rainwater: Case Study in Roanoke, Virginia, USA","Parece, Tammy E., Lumpkin, Malayshia, Campbell, James B.",Sustainable Water Management in Urban Environments,2016-01-01,N/A,"Considered at the global scale, urbanization forms the principal source of landscape change. Worldwide, urban areas are increasing in size, both in land area and in population, causing losses of vegetated lands, increases in impervious surface cover, and increased demands on existing infrastructure and upon municipal services such as water and waste management. Urbanization, by reducing vegetative cover and increasing impervious surfaces, alters hydrologic cycles by reducing infiltration, increasing runoff volume and rates, lowering groundwater tables, decreasing evapotranspiration, and creating precipitation anomalies. Urban greenspaces are recognized as providing environmental benefits, including reduced stormwater runoff, increased evapotranspiration, and increased subsurface infiltration, which, in turn, raise groundwater tables. Urban agriculture forms a greenspace that can provide these environmental benefits, among others, in addition to contributing to food security for local populations. This chapter provides an overview of urban agriculture and its potential benefits. Then, we provide a case study based upon the City of Roanoke, Virginia, USA. We identify areas of existing urban agriculture using aerial imagery. We discuss land available for potential new urban agricultural sites. From aerial images and city geospatial data, we identify and calculate roof areas that can be used to capture rainwater. Then using precipitation data and equations identified from the literature, we calculated amounts of rainwater that could be harvested to provide irrigation water for these locations. Finally, we discuss reductions that could occur in stormwater runoff and greenhouse gas emissions if harvested rainwater were used instead of municipal water supplies. Additionally, we discuss future research areas for urban agriculture and rainwater harvesting.",None,None,None
Planting Abundance: Alternative Water Sources for Urban Farms,"Lancaster, Brad",Sowing Seeds in the City,2016-01-01,N/A,"We live in a natural abundance. If you can see it, you can plant it, and grow its potential!",None,None,None
Assessing Bioretention Basin Treatment Performance,"Mangangka, Isri R., Liu, An, Goonetilleke, Ashantha, Egodawatta, Prasanna",Enhancing the Storm Water Treatment Performance of Constructed Wetlands and Bioretention Basins,2016-01-01,N/A,"This chapter investigates the influence of hydrologicHydrological factors/hydraulic factors on the treatment performanceTreatment performance of a bioretention basin using parameters generated by the conceptual model discussed in Chap. 2. The study outcomes showed that antecedent dry periodAntecedent dry period is an important factor influencing pollutant removal efficiency. A long antecedent dry period will result in relatively low moisture contentMoisture content in the filter mediaFilter media which can enhance the runoff retention capacity and consequently improve treatment performance. This implies that planting vegetation with a high evapotranspirationEvapotranspiration capacity would enhance treatment efficiency. Additionally, it was found that pollutant leaching influences bioretention basin treatment performanceTreatment performance, particularly reducing the ability for nutrient removal. This highlights the importance of the selection of appropriate filter media and its timely replacement.",None,None,None
Case Study: Seahurst and Percival,"Hummel, Peter, Spooner, Anna","Coastal Change, Ocean Conservation and Resilient Communities",2016-01-01,N/A,"The Seahurst Park Ecosystem RestorationSeahurst Park Ecosystem Restoration and Percival Landing Major RehabilitationPercival Landing Major Rehabilitation projects showcase how Anchor QEA tackles complicated shoreline projects to achieve a diverse set of goals. Both projects are located on Washington State’s Puget Sound, the second largest estuary in the United States. They are both heavily used public waterfront parks that balance recreational access with nearshore ecological restoration.",None,None,None
A multifunctional green infrastructure design to protect and improve native biodiversity in Rio de Janeiro,"Herzog, Cecilia Polacow",Landscape and Ecological Engineering,2016-01-01,N/A,"The city of Rio de Janeiro now covers what was formerly coastal Atlantic rainforest. Native biodiversity has been lost from most of the metropolitan area due to changes in land use, introduction of exotic species, and influence of foreign designs in public and private parks and gardens. This paper presents a multifunctional green infrastructure planning proposal to protect and regenerate native biodiversity in the last remaining natural ecosystem fragments in a watershed within the city’s limits. The proposal is based on social–ecological assessments and analyses. The watershed contains an extensive mangrove remnant surrounded by a protected massif partially covered by coastal Atlantic rainforest and is one of the very last productive landscapes where residents experience a strong sense of place. The strategy is to reconcile urban development with environmental achievements to conserve existing ecosystem patches, which will be connected by way of riparian corridors and other open spaces, such as streets, private yards and public areas, by using native species and ecological design. The green infrastructure framework is planned at the watershed scale. On a neighborhood and local scale, the plan is to promote public participation, develop new ecological aesthetics, encourage the planting of native species, and establish an innovative circulation system within a low-impact design framework to achieve various abiotic, biotic, and cultural goals. In addition to the economic benefits, accessible food production, rural tourism and ecotourism have the potential to unite people and nature within the city.",None,None,None
Can School Gardens Deepen Children’s Connection to Nature?,"Wake, Susan J., Birdsall, Sally","Space, Place, and Environment",2016-01-01,N/A,"This chapter is a review of school gardens and their potential for deepening children’s connection to nature. School gardens are currently experiencing a resurgence in popularity in many Western countries following their decline after WWII. Rationales for contemporary school gardens are focused on issues that today’s children face, such as inflexible education systems, obesity, diminishing experiences with nature, and a lack of physical activity. Although lauded by their champions (e.g., researchers, educational and landscape professionals, celebrities), the school garden remains a tenuous construct both as an entity and an educational tool. This is due to lack of consistent empirical evidence about their role in learning, plus their reliance on teacher knowledge and commitment, fundraising potential, and volunteer assistance.Yet school gardens can provide spaces for many experiences in nature ranging from play, exercise, and socialization to learning in maths, science, and environmental education. The focus of this chapter is examining their potential for environmental learning and fostering positive environmental experiences and attitudes.It is proposed that many current school gardens may be limited both in their scope and levels of children’s participation, especially in areas such as planning and design. It is recommended that partnerships between schools and their wider communities (e.g., landscape architects) could result in more diverse school garden models that go beyond “vege” gardens in contributing both to environmental learning and promoting biodiversity. Empowering children through inclusion within such partnerships can lead to transformative learning. This type of learning could contribute to building resilient children who see themselves as future guardians of the Earth.",None,None,None
"Stream Restoration in Urban Environments: Concept, Design Principles, and Case Studies of Stream Daylighting","Buchholz, Tracy A., Madary, David A., Bork, Dean, Younos, Tamim",Sustainable Water Management in Urban Environments,2016-01-01,N/A,"This chapter explores the viability of urban stream daylighting as a stream restoration and green infrastructure technology. The history and impacts of “traditional” methods of managing urban streams by placing them in underground pipes are presented and then challenged by proposing daylighting as an alternative urban stormwater management technique. We explore methods of site selection, stream analysis, and natural stream channel design along with construction considerations in urban environments. We review four case studies in the USA demonstrating the most common daylighted stream channel types, which address some of the specific issues and outcomes of current urban stream daylighting efforts. Compared with case study research in 2006–2007, the majority of daylighting projects are now being utilized to manage stormwater volume in an effort to prevent flooding in downtown business and residential districts. Improvements to water quality and habitat corridors are also important, but are secondary to urban flood control. Our conclusions indicate that urban stream daylighting projects are on the rise across the country, in both urban and rural city centers, but that costs and technical complexity are also on the rise due to heavy urban site constraints and limited available land for establishing more naturalized stream channels.",None," Our conclusions indicate that urban stream daylighting projects are on the rise across the country, in both urban and rural city centers, but that costs and technical complexity are also on the rise due to heavy urban site constraints and limited available land for establishing more naturalized stream channels",None
"CITY VIEW: Portland, Oregon, United States","Holland, Brian, Wei, Juan",State of the World,2016-01-01,N/A,"The City of Portland has created and implemented strategies to reduce greenhouse gas emissions for more than 20 years. In the early 1990s, it became the first city in the United States to adopt a comprehensive carbon dioxide reduction strategy. In 2001, Multnomah County (the most populous of Oregon’s 36 counties) and the City of Portland (which is the seat of Multnomah County and Oregon’s largest city) passed their joint Local Action Plan on Global Warming.",None,None,None
A Case Study: Washington State University Pierce County Extension Master Gardener Program: Volunteer Educators in Home Gardening and Environmental Stewardship,"Buckingham, Kerri",Sowing Seeds in the City,2016-01-01,N/A,"Experienced and novice home gardeners alike often find themselves overwhelmed by gardening questions. What should I plant? Where should I plant it? What is wrong with my plant? Many gardeners around the country bring these questions to their local Extension Master Gardener Volunteers, who are trained and available to answer home gardening questions. The Washington State University (WSU) Extension Master Gardener Program prepares volunteers to be effective community educators and leaders in home gardening and environmental stewardship. Master Gardeners (MG) bring information generated from research at WSU and other university systems into the community though many educational outlets, including plant clinics, demonstration gardens, presentations and community garden outreach.",None,None,None
Smart Trends and Paradigm Shift,"Ahuja, Anil",Integration of Nature and Technology for Smart Cities,2016-01-01,N/A,"The smart trend of new Internet technologies, promoting cloud-based services, the Internet of Things (IoT) and real-world user interfaces through smart phones, smart meters, and network of sensors and RFIDs, will continue to open new ways to collaborative problem solving. The use of ICT (information and communication technologies) to transform life and working environments within the region and territorialization of practices will bring people and nature together to enhance the innovation and knowledge.",None,None,None
Nonpoint Source Pollution,"Ridolfi, Katherine C.",Encyclopedia of Estuaries,2016-01-01,N/A,,None,None,None
How Did We Get Here?,"Ruddick, Margie",Wild By Design,2016-01-01,N/A,"Landscape architecture. Is it art? Is it ecology? This has been the struggle for almost 50 years. Every landscape architect or designer today finds herself at some point reckoning with where she sits on the spectrum between the two. It used to be easier: There were the design mavens, such as Peter Walker, formalists who concerned themselves largely with the way a landscape looked, whether it was striped or curvy. Then there were the ecologists, such as the practice Andropogon, who, although they do pursue a formal agenda, give the way a landscape works ecologically primacy over empty form.",None,None,None
Toward a Vision of Sustainable Cities,"Gardner, Gary",State of the World,2016-01-01,N/A,"The path to a sustainable city starts with a vision, a description of a city’s future that articulates its aspirations for sustainability. A well-crafted vision can rally public support and mobilize civic energy for a long-term urban makeover that touches virtually every sector of a city. Many cities have produced and published their own sustainability visions. The Aalborg Charter, the Leipzig Charter, Melbourne 2030, and Sustainable Singapore are among the city visions that spell out, in broad, overarching strokes, the general features of their envisioned future. Each is unique, reflecting the particular characteristics and context of their cities.",None,None,None
"Opportunities, Tensions and Risks for Coastal Cities","Mega, Voula P.",Conscious Coastal Cities,2016-01-01,N/A,"This chapter reviews possible future trends, opportunities, tensions and risks for coastal cities. Backbones of both sea and land dynamics and functions, marine and maritime cities can generate and enhance precious synergies among their diverse resources and interacting ecosystems and serve as bridges among the hinterland, and, through the maritime routes, faraway lands. To advance towards sustainable development, coastal cities have to enhance all aspects of their unique urban capital, natural and physical, on land and water, human, intellectual and social, cultural and political, financial and constructed, as strong sustainability requires all forms of urban capital to be preserved, strengthened and transmitted to future generations. Climate change, subsidence and excessive population growth and socio-economic change are important risks, especially for low-elevated zones, but coastal cities count on the very diverse assets which, if sustainably managed, can help them address the challenges of the future. The chapter invites the reader on a journey to urban shores of some of the world seas, highlights strengths and vulnerabilities, and a multitude of possible actions, promises and perils.",None,None,None
Reanimating the Landscape,"Everard, Mark",The Ecosystems Revolution,2016-01-01,N/A,"‘Reanimating the landscape’ recounts inspiring community-based projects across the developing world where restoration of degraded landscapes has regenerated ecosystems and human livelihoods in positively reinforcing cycles. Parallels are drawn with emerging developed world approaches to restoration of catchment functioning for pollution control, water resource protection, and flood management in increasingly nature-based ways. Examples from across the world illuminate how ecosystem restoration is protecting and increasing human security, economic benefits and opportunity, highlighting the importance of investment in the natural infrastructure essential for securing human wellbeing. However, significant difficulties are inherent in navigating a transition to a broader, systemic paradigm of greater net societal benefit and security, threatening as it may appear to established reductive norms and their associated vested interests."," However, significant difficulties are inherent in navigating a transition to a broader, systemic paradigm of greater net societal benefit and security, threatening as it may appear to established reductive norms and their associated vested interests",None,None
Sustainable Water Management in Green Roofs,"Orsini, Francesco, Accorsi, Mattia, Luz, Paulo, Tsirogiannis, Ioannis L., Gianquinto, Giorgio",Sustainable Water Management in Urban Environments,2016-01-01,N/A,"In this chapter, the contribution of green roofs in management of the urban water cycle is addressed. Primarily, proper water management strategies are presented, with specific regard to the sustainable practice of irrigation and the definition of water quality standards. We reference the application of alternative water sources, such as rainwater harvesting and gray water regeneration. Then, the environmental, ecological, and financial benefits associated with rooftop greening are described, including reference to life cycle cost assessment. Ecosystem service provision is analyzed in specific relation to the role played by water in improving urban microclimate and air quality and promoting resilience to climate change."," Then, the environmental, ecological, and financial benefits associated with rooftop greening are described, including reference to life cycle cost assessment",None,None
B,"Bahadori, Alireza, Smith, Scott T.",Dictionary of Environmental Engineering and Wastewater Treatment,2016-01-01,N/A,"Benchmark ambient concentration: the concentration of a toxic air contaminant that is used in determining environmental acceptability pursuant to Regulation 5.21 Environmental Acceptability for Toxic Air Contaminants. The benchmark ambient concentration for a carcinogen (BACC) is the concentration, including an averaging time frame, of a toxic air contaminant that is representative of an additional lifetime cancer risk of one in one million (1 × 10−6). The benchmark ambient concentration for a carcinogen is established pursuant to Regulation 5.20 Methodology for Determining Benchmark Ambient Concentration for a Toxic Air Contaminant, Section 3. The benchmark ambient concentration for the no carcinogenic effects of a toxic air contaminant (BACNC) is the concentration, including an averaging time frame, of a toxic air contaminant that is likely to be without an appreciable risk of deleterious effects during a lifetime. The benchmark ambient concentration for the non-carcinogenic effects of a toxic air contaminant is established pursuant to Regulation 5.20 Section 4. A substance can have both, with different values. See Regulation 5.1 for more information.",None,None,None
The Smart Building in the Smart City,"Stieninger, Petra",Integration of Nature and Technology for Smart Cities,2016-01-01,N/A,"Technologies enable us to make buildings more energy-efficient, more water-efficient, or in general more resource-efficient and sustainable. We design buildings with high-performance appliances that reduce the use of resources tremendously. We incorporate features that allow the building to produce more energy than it uses. And we install smart meters and integrate the Internet of Things to analyze big data on the efficiency of the building operation. Today, we create so-called smart buildings.",None,None,None
A Revolutionary Journey,"Everard, Mark",The Ecosystems Revolution,2016-01-01,N/A,"‘A revolutionary journey’ explores how an ecosystems revolution is already under way, as evidenced by incremental modifications to the broader formal and informal policy environment of the developed world over the past century and more. The dependencies and impacts of major policy areas on ecosystems and their services are reviewed through selected examples, emphasising the need for far greater internalisation of the benefits and vulnerabilities of supporting ecosystems, integrated across policy spheres and societal sectors, if continuing human opportunity is to be secured.",None,None,None
"Hoosier Energy Rural Electric Cooperative, Inc.: The Rural Cooperative Perspective","Reilly, Michalene",Sustainable Electricity,2016-01-01,N/A,"Making the business case for sustainability is far easier for large utilities that have either investors or a significant customer base pressuring particular actions. The business case is more difficult when those drivers are absent, as is the case for small non-investor-owned utilities (non-IOUs). For large non-IOUs, there is still pressure to respond to stakeholders and an extensive customer base, but it is more challenging to promote sustainability inside smaller organizations, such as rural electric cooperatives. Hoosier Energy, located in Bloomington Indiana, has been implementing programs to support its communities since its founding in 1949 but has only recently begun to frame these programs as continuous improvement. It took the development of a plan for new headquarters facilities to help bring all the pieces together into a theme that made sense for Hoosier Energy. The Hoosier Energy story is presented as an example of garnering support for a comprehensive program within a generation and tranmission cooperative .",Making the business case for sustainability is far easier for large utilities that have either investors or a significant customer base pressuring particular actions,None,None
Urban Stormwater Management: Evolution of Process and Technology,"Hirschman, David, Battiata, Joseph",Sustainable Water Management in Urban Environments,2016-01-01,N/A,"The practice of urban stormwater management has evolved over the course of several decades. Initially, stormwater management concerned itself primarily with abating downstream flooding and was the sole domain of engineers. As the regulatory climate changed over time, so did design philosophy, along with the types of management practices, the computational methods, and the prominence of stormwater management as an integral part of the overall site planning process. The milestones of this evolution include the addition of stormwater quality treatment as a regulatory standard and, more recently, a focus on reducing the overall volume of runoff through the use of small-scale, distributed management practices (often under the banner of Low-Impact Development or Environmental Site Design). The volume reduction strategy, referred to as “runoff reduction,” has been adopted as a regulatory standard in some parts of the USA, along with new stormwater practice design specifications and computational methods. The approach demands that stormwater design reach beyond sole reliance on engineering, as the new best management practices (BMPs) include site design strategies that incorporate elements of soil science, horticulture, landscape architecture, and, importantly, site planning. These new strategies have certainly been elevated to prominence by virtue of the hydrologic benefits but also by the integration of stormwater management into Clean Water Act permits and Total Maximum Daily Loads (TMDLs) assigned to impaired urban streams and receiving waterbodies. This chapter will outline the evolution of stormwater management regulatory goals and the corresponding design strategies and include examples of how these approaches are changing the structural and nonstructural design of the urban landscape.",None,None,None
